snp-dists 0.7.0	floR_2_AF118107.R	floR_2_AF118107.v1	floR_2_AF118107.v2
floR_2_AF118107.R	0	1	2
floR_2_AF118107.v1	1	0	3
floR_2_AF118107.v2	2	3	0
