snp-dists 0.7.0	blaOXA_427_1_KX827604.v1	blaOXA_427_1_KX827604.v2	blaOXA_427_1_KX827604.R
blaOXA_427_1_KX827604.v1	0	1	4
blaOXA_427_1_KX827604.v2	1	0	5
blaOXA_427_1_KX827604.R	4	5	0
