snp-dists 0.7.0	blaOXA_1_1_HQ170510.R	blaOXA_4_1_AY162283.R	blaOXA_392_1_AB901044.R	blaOXA_4_1_AY162283.v1	blaOXA_392_1_AB901044.v1	blaOXA_392_1_AB901044.v2	blaOXA_392_1_AB901044.v3	blaOXA_4_1_AY162283.v2	blaOXA_392_1_AB901044.v4	blaOXA_392_1_AB901044.v5
blaOXA_1_1_HQ170510.R	0	2	17	3	23	18	17	3	18	16
blaOXA_4_1_AY162283.R	2	0	17	1	23	18	17	1	18	16
blaOXA_392_1_AB901044.R	17	17	0	18	12	1	1	18	1	3
blaOXA_4_1_AY162283.v1	3	1	18	0	24	19	18	2	19	17
blaOXA_392_1_AB901044.v1	23	23	12	24	0	13	13	24	13	9
blaOXA_392_1_AB901044.v2	18	18	1	19	13	0	2	19	2	4
blaOXA_392_1_AB901044.v3	17	17	1	18	13	2	0	18	2	4
blaOXA_4_1_AY162283.v2	3	1	18	2	24	19	18	0	19	17
blaOXA_392_1_AB901044.v4	18	18	1	19	13	2	2	19	0	4
blaOXA_392_1_AB901044.v5	16	16	3	17	9	4	4	17	4	0
