snp-dists 0.7.0	msr_D_3_AF227520.v1	msr_D_2_AF274302.R	msr_D_3_AF227520.v2	msr_D_3_AF227520.v3	msr_D_2_AF274302.v1	msr_D_2_AF274302.v2	msr_D_3_AF227520.R
msr_D_3_AF227520.v1	0	29	1	2	30	29	1
msr_D_2_AF274302.R	29	0	28	27	1	2	30
msr_D_3_AF227520.v2	1	28	0	1	29	28	2
msr_D_3_AF227520.v3	2	27	1	0	28	27	3
msr_D_2_AF274302.v1	30	1	29	28	0	3	31
msr_D_2_AF274302.v2	29	2	28	27	3	0	30
msr_D_3_AF227520.R	1	30	2	3	31	30	0
