snp-dists 0.7.0	aph_3_Ia_7_X62115.R	aph_3_Ia_1_V00359.R	aph_3_Ia_5_AP004237.R	aph_3_Ia_1_V00359.v1	aph_3_Ia_3_EF015636.v1	aph_3_Ia_3_EF015636.R
aph_3_Ia_7_X62115.R	0	6	11	7	7	8
aph_3_Ia_1_V00359.R	6	0	13	1	7	8
aph_3_Ia_5_AP004237.R	11	13	0	14	10	11
aph_3_Ia_1_V00359.v1	7	1	14	0	8	9
aph_3_Ia_3_EF015636.v1	7	7	10	8	0	1
aph_3_Ia_3_EF015636.R	8	8	11	9	1	0
