snp-dists 0.7.0	mef_C_1_AB571865.v1	mef_C_1_AB571865.R	mef_C_1_AB571865.v2	mef_C_1_AB571865.v3
mef_C_1_AB571865.v1	0	1	1	38
mef_C_1_AB571865.R	1	0	2	39
mef_C_1_AB571865.v2	1	2	0	37
mef_C_1_AB571865.v3	38	39	37	0
