snp-dists 0.7.0	erm_G_1_M15332.R	erm_G_1_M15332.v1	erm_G_1_M15332.v2	erm_G_1_M15332.v3	erm_G_1_M15332.v4	erm_G_1_M15332.v5
erm_G_1_M15332.R	0	1	4	1	3	1
erm_G_1_M15332.v1	1	0	5	2	4	2
erm_G_1_M15332.v2	4	5	0	5	1	3
erm_G_1_M15332.v3	1	2	5	0	4	2
erm_G_1_M15332.v4	3	4	1	4	0	2
erm_G_1_M15332.v5	1	2	3	2	2	0
