snp-dists 0.7.0	ere_D_1_KP265721.v1	ere_D_1_KP265721.R	ere_D_1_KP265721.v2
ere_D_1_KP265721.v1	0	1	17
ere_D_1_KP265721.R	1	0	18
ere_D_1_KP265721.v2	17	18	0
