snp-dists 0.7.0	blaCMH_3_1_KX192165.v1	blaCMH_3_1_KX192165.v2	blaCMH_3_1_KX192165.R
blaCMH_3_1_KX192165.v1	0	2	4
blaCMH_3_1_KX192165.v2	2	0	6
blaCMH_3_1_KX192165.R	4	6	0
